# Force coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 0.000000e+00 -1.000000e+00)
# liftDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 0.000000e+00 -1.000000e+00)
# yawAxis     : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 1.000000e+00
# Aref        : 1.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            	Cs            	Cl            	CmRoll        	CmPitch       	CmYaw         	Cd(f)         	Cd(r)         	Cs(f)         	Cs(r)         	Cl(f)         	Cl(r)         
0.02          	2.309208e+02	0.000000e+00	4.727871e-02	-2.363935e-02	1.615997e+03	1.154604e+02	1.154368e+02	1.154841e+02	1.154604e+02	-1.154604e+02	1.616020e+03	-1.615973e+03
0.04          	-1.199230e+02	0.000000e+00	-3.396763e-02	1.698382e-02	-8.391388e+02	-5.996151e+01	-5.994453e+01	-5.997850e+01	-5.996151e+01	5.996151e+01	-8.391558e+02	8.391218e+02
0.06          	1.068288e+01	0.000000e+00	1.549404e-02	-7.747018e-03	7.463314e+01	5.341439e+00	5.333692e+00	5.349186e+00	5.341439e+00	-5.341439e+00	7.464088e+01	-7.462539e+01
0.08          	-8.862077e-01	0.000000e+00	1.866965e-03	-9.334826e-04	-6.221369e+00	-4.431038e-01	-4.440373e-01	-4.421704e-01	-4.431038e-01	4.431038e-01	-6.220435e+00	6.222302e+00
0.1           	4.011190e+00	0.000000e+00	-1.428948e-04	7.144741e-05	2.807975e+01	2.005595e+00	2.005667e+00	2.005524e+00	2.005595e+00	-2.005595e+00	2.807968e+01	-2.807982e+01
0.12          	2.110168e+00	0.000000e+00	-2.888824e-04	1.444412e-04	1.477393e+01	1.055084e+00	1.055228e+00	1.054939e+00	1.055084e+00	-1.055084e+00	1.477378e+01	-1.477407e+01
0.14          	2.830560e+00	0.000000e+00	-1.545836e-04	7.729180e-05	1.981540e+01	1.415280e+00	1.415358e+00	1.415203e+00	1.415280e+00	-1.415280e+00	1.981532e+01	-1.981547e+01
0.16          	2.515305e+00	0.000000e+00	-1.311303e-04	6.556517e-05	1.760838e+01	1.257652e+00	1.257718e+00	1.257587e+00	1.257652e+00	-1.257652e+00	1.760831e+01	-1.760844e+01
0.18          	2.586646e+00	0.000000e+00	-1.316629e-04	6.583145e-05	1.810777e+01	1.293323e+00	1.293389e+00	1.293257e+00	1.293323e+00	-1.293323e+00	1.810770e+01	-1.810784e+01
0.2           	2.499720e+00	0.000000e+00	-1.029948e-04	5.149739e-05	1.749901e+01	1.249860e+00	1.249911e+00	1.249808e+00	1.249860e+00	-1.249860e+00	1.749896e+01	-1.749906e+01
0.22          	2.479152e+00	0.000000e+00	-1.462699e-04	7.313495e-05	1.735544e+01	1.239576e+00	1.239649e+00	1.239503e+00	1.239576e+00	-1.239576e+00	1.735537e+01	-1.735552e+01
0.24          	2.432617e+00	0.000000e+00	-9.434992e-05	4.717496e-05	1.702920e+01	1.216309e+00	1.216356e+00	1.216261e+00	1.216309e+00	-1.216309e+00	1.702916e+01	-1.702925e+01
0.26          	2.398770e+00	0.000000e+00	-1.272654e-04	6.363271e-05	1.679259e+01	1.199385e+00	1.199449e+00	1.199322e+00	1.199385e+00	-1.199385e+00	1.679252e+01	-1.679265e+01
0.28          	2.360155e+00	0.000000e+00	-8.277488e-05	4.138744e-05	1.652186e+01	1.180078e+00	1.180119e+00	1.180036e+00	1.180078e+00	-1.180078e+00	1.652182e+01	-1.652190e+01
0.3           	2.323374e+00	0.000000e+00	-1.318792e-04	6.593960e-05	1.626485e+01	1.161687e+00	1.161753e+00	1.161621e+00	1.161687e+00	-1.161687e+00	1.626479e+01	-1.626492e+01
0.32          	2.286037e+00	0.000000e+00	-9.370123e-05	4.685061e-05	1.600313e+01	1.143019e+00	1.143065e+00	1.142972e+00	1.143019e+00	-1.143019e+00	1.600308e+01	-1.600318e+01
0.34          	2.258763e+00	0.000000e+00	-1.271573e-04	6.357863e-05	1.581253e+01	1.129382e+00	1.129445e+00	1.129318e+00	1.129382e+00	-1.129382e+00	1.581247e+01	-1.581259e+01
0.36          	2.227496e+00	0.000000e+00	-8.838228e-05	4.419114e-05	1.559329e+01	1.113748e+00	1.113792e+00	1.113704e+00	1.113748e+00	-1.113748e+00	1.559325e+01	-1.559334e+01
0.38          	2.189804e+00	0.000000e+00	-1.050630e-04	5.253149e-05	1.532961e+01	1.094902e+00	1.094955e+00	1.094850e+00	1.094902e+00	-1.094902e+00	1.532956e+01	-1.532966e+01
0.4           	2.157414e+00	0.000000e+00	-9.294823e-05	4.647411e-05	1.510276e+01	1.078707e+00	1.078754e+00	1.078661e+00	1.078707e+00	-1.078707e+00	1.510271e+01	-1.510281e+01
0.42          	2.130255e+00	0.000000e+00	-1.021718e-04	5.108589e-05	1.491274e+01	1.065128e+00	1.065179e+00	1.065077e+00	1.065128e+00	-1.065128e+00	1.491269e+01	-1.491279e+01
0.44          	2.106262e+00	0.000000e+00	-9.306484e-05	4.653242e-05	1.474470e+01	1.053131e+00	1.053178e+00	1.053084e+00	1.053131e+00	-1.053131e+00	1.474465e+01	-1.474474e+01
0.46          	2.084694e+00	0.000000e+00	-1.018248e-04	5.091238e-05	1.459381e+01	1.042347e+00	1.042398e+00	1.042296e+00	1.042347e+00	-1.042347e+00	1.459375e+01	-1.459386e+01
0.48          	2.063184e+00	0.000000e+00	-9.349463e-05	4.674731e-05	1.444316e+01	1.031592e+00	1.031639e+00	1.031545e+00	1.031592e+00	-1.031592e+00	1.444311e+01	-1.444320e+01
0.5           	2.032371e+00	0.000000e+00	-8.410617e-05	4.205309e-05	1.422738e+01	1.016185e+00	1.016227e+00	1.016143e+00	1.016185e+00	-1.016185e+00	1.422734e+01	-1.422742e+01
0.52          	2.009280e+00	0.000000e+00	-7.958898e-05	3.979449e-05	1.406570e+01	1.004640e+00	1.004680e+00	1.004600e+00	1.004640e+00	-1.004640e+00	1.406566e+01	-1.406574e+01
0.54          	1.989051e+00	0.000000e+00	-7.781427e-05	3.890714e-05	1.392408e+01	9.945256e-01	9.945646e-01	9.944867e-01	9.945256e-01	-9.945256e-01	1.392404e+01	-1.392412e+01
0.56          	1.967116e+00	0.000000e+00	-8.612285e-05	4.306142e-05	1.377061e+01	9.835578e-01	9.836009e-01	9.835148e-01	9.835578e-01	-9.835578e-01	1.377057e+01	-1.377066e+01
0.58          	1.943746e+00	0.000000e+00	-8.578740e-05	4.289370e-05	1.360702e+01	9.718731e-01	9.719160e-01	9.718302e-01	9.718731e-01	-9.718731e-01	1.360698e+01	-1.360706e+01
0.6           	1.927392e+00	0.000000e+00	-8.416383e-05	4.208191e-05	1.349253e+01	9.636962e-01	9.637383e-01	9.636541e-01	9.636962e-01	-9.636962e-01	1.349249e+01	-1.349257e+01
0.62          	1.910340e+00	0.000000e+00	-8.498389e-05	4.249194e-05	1.337317e+01	9.551700e-01	9.552125e-01	9.551275e-01	9.551700e-01	-9.551700e-01	1.337313e+01	-1.337321e+01
0.64          	1.892680e+00	0.000000e+00	-8.382040e-05	4.191020e-05	1.324954e+01	9.463399e-01	9.463818e-01	9.462980e-01	9.463399e-01	-9.463399e-01	1.324950e+01	-1.324958e+01
0.66          	1.875691e+00	0.000000e+00	-8.227287e-05	4.113643e-05	1.313060e+01	9.378455e-01	9.378867e-01	9.378044e-01	9.378455e-01	-9.378455e-01	1.313056e+01	-1.313065e+01
0.68          	1.859132e+00	0.000000e+00	-8.016867e-05	4.008434e-05	1.301467e+01	9.295659e-01	9.296060e-01	9.295258e-01	9.295659e-01	-9.295659e-01	1.301463e+01	-1.301471e+01
0.7           	1.843340e+00	0.000000e+00	-7.880037e-05	3.940019e-05	1.290412e+01	9.216701e-01	9.217095e-01	9.216307e-01	9.216701e-01	-9.216701e-01	1.290408e+01	-1.290416e+01
0.72          	1.827846e+00	0.000000e+00	-7.423428e-05	3.711714e-05	1.279561e+01	9.139228e-01	9.139599e-01	9.138857e-01	9.139228e-01	-9.139228e-01	1.279558e+01	-1.279565e+01
0.74          	1.812725e+00	0.000000e+00	-6.938826e-05	3.469413e-05	1.268972e+01	9.063623e-01	9.063970e-01	9.063276e-01	9.063623e-01	-9.063623e-01	1.268969e+01	-1.268976e+01
0.76          	1.797459e+00	0.000000e+00	-6.304072e-05	3.152036e-05	1.258280e+01	8.987296e-01	8.987612e-01	8.986981e-01	8.987296e-01	-8.987296e-01	1.258277e+01	-1.258284e+01
0.78          	1.775383e+00	0.000000e+00	-8.880622e-05	4.440311e-05	1.242851e+01	8.876916e-01	8.877360e-01	8.876472e-01	8.876916e-01	-8.876916e-01	1.242847e+01	-1.242856e+01
0.8           	1.764437e+00	0.000000e+00	-8.502883e-05	4.251442e-05	1.235185e+01	8.822184e-01	8.822609e-01	8.821759e-01	8.822184e-01	-8.822184e-01	1.235181e+01	-1.235189e+01
0.82          	1.751040e+00	0.000000e+00	-9.341563e-05	4.670782e-05	1.225815e+01	8.755200e-01	8.755668e-01	8.754733e-01	8.755200e-01	-8.755200e-01	1.225811e+01	-1.225820e+01
0.84          	1.738707e+00	0.000000e+00	-9.324915e-05	4.662457e-05	1.217182e+01	8.693535e-01	8.694001e-01	8.693069e-01	8.693535e-01	-8.693535e-01	1.217177e+01	-1.217187e+01
0.86          	1.724383e+00	0.000000e+00	-9.883264e-05	4.941632e-05	1.207160e+01	8.621913e-01	8.622407e-01	8.621419e-01	8.621913e-01	-8.621913e-01	1.207155e+01	-1.207165e+01
0.88          	1.711777e+00	0.000000e+00	-1.007910e-04	5.039552e-05	1.198339e+01	8.558886e-01	8.559390e-01	8.558382e-01	8.558886e-01	-8.558886e-01	1.198334e+01	-1.198344e+01
0.9           	1.700498e+00	0.000000e+00	-9.614519e-05	4.807259e-05	1.190439e+01	8.502491e-01	8.502972e-01	8.502011e-01	8.502491e-01	-8.502491e-01	1.190434e+01	-1.190444e+01
0.92          	1.689711e+00	0.000000e+00	-1.051422e-04	5.257108e-05	1.182896e+01	8.448553e-01	8.449078e-01	8.448027e-01	8.448553e-01	-8.448553e-01	1.182891e+01	-1.182901e+01
0.94          	1.679716e+00	0.000000e+00	-1.002731e-04	5.013656e-05	1.175896e+01	8.398582e-01	8.399083e-01	8.398081e-01	8.398582e-01	-8.398582e-01	1.175891e+01	-1.175901e+01
0.96          	1.670112e+00	0.000000e+00	-1.016400e-04	5.081998e-05	1.169174e+01	8.350558e-01	8.351066e-01	8.350050e-01	8.350558e-01	-8.350558e-01	1.169169e+01	-1.169179e+01
0.98          	1.660980e+00	0.000000e+00	-1.074339e-04	5.371693e-05	1.162787e+01	8.304898e-01	8.305435e-01	8.304360e-01	8.304898e-01	-8.304898e-01	1.162781e+01	-1.162792e+01
1             	1.652278e+00	0.000000e+00	-1.063279e-04	5.316394e-05	1.156694e+01	8.261389e-01	8.261920e-01	8.260857e-01	8.261389e-01	-8.261389e-01	1.156689e+01	-1.156700e+01
1.02          	1.644098e+00	0.000000e+00	-1.068267e-04	5.341333e-05	1.150969e+01	8.220491e-01	8.221026e-01	8.219957e-01	8.220491e-01	-8.220491e-01	1.150964e+01	-1.150975e+01
1.04          	1.636252e+00	0.000000e+00	-1.080849e-04	5.404245e-05	1.145478e+01	8.181260e-01	8.181800e-01	8.180719e-01	8.181260e-01	-8.181260e-01	1.145473e+01	-1.145483e+01
1.06          	1.628820e+00	0.000000e+00	-1.069900e-04	5.349501e-05	1.140275e+01	8.144102e-01	8.144637e-01	8.143567e-01	8.144102e-01	-8.144102e-01	1.140269e+01	-1.140280e+01
1.08          	1.621779e+00	0.000000e+00	-1.161205e-04	5.806026e-05	1.135355e+01	8.108897e-01	8.109478e-01	8.108317e-01	8.108897e-01	-8.108897e-01	1.135349e+01	-1.135361e+01
1.1           	1.615249e+00	0.000000e+00	-1.137785e-04	5.688927e-05	1.130782e+01	8.076246e-01	8.076815e-01	8.075677e-01	8.076246e-01	-8.076246e-01	1.130776e+01	-1.130787e+01
1.12          	1.608915e+00	0.000000e+00	-1.144001e-04	5.720003e-05	1.126348e+01	8.044575e-01	8.045147e-01	8.044003e-01	8.044575e-01	-8.044575e-01	1.126343e+01	-1.126354e+01
1.14          	1.602809e+00	0.000000e+00	-1.139491e-04	5.697453e-05	1.122074e+01	8.014047e-01	8.014617e-01	8.013477e-01	8.014047e-01	-8.014047e-01	1.122068e+01	-1.122080e+01
1.16          	1.596844e+00	0.000000e+00	-1.109268e-04	5.546341e-05	1.117895e+01	7.984219e-01	7.984774e-01	7.983664e-01	7.984219e-01	-7.984219e-01	1.117890e+01	-1.117901e+01
1.18          	1.590832e+00	0.000000e+00	-1.096088e-04	5.480438e-05	1.113686e+01	7.954160e-01	7.954708e-01	7.953612e-01	7.954160e-01	-7.954160e-01	1.113680e+01	-1.113691e+01
1.2           	1.585125e+00	0.000000e+00	-1.100385e-04	5.501925e-05	1.109691e+01	7.925625e-01	7.926175e-01	7.925074e-01	7.925625e-01	-7.925625e-01	1.109686e+01	-1.109697e+01
1.22          	1.581138e+00	0.000000e+00	-1.020116e-04	5.100582e-05	1.106893e+01	7.905689e-01	7.906199e-01	7.905179e-01	7.905689e-01	-7.905689e-01	1.106887e+01	-1.106898e+01
1.24          	1.576216e+00	0.000000e+00	-1.070766e-04	5.353830e-05	1.103452e+01	7.881079e-01	7.881614e-01	7.880544e-01	7.881079e-01	-7.881079e-01	1.103447e+01	-1.103458e+01
1.26          	1.570452e+00	0.000000e+00	-9.540368e-05	4.770184e-05	1.099406e+01	7.852258e-01	7.852735e-01	7.851781e-01	7.852258e-01	-7.852258e-01	1.099401e+01	-1.099411e+01
